Date,Total_Accident
01/01/2014,267
02/01/2014,328
03/01/2014,308
04/01/2014,272
05/01/2014,269
06/01/2014,359
07/01/2014,395
08/01/2014,413
09/01/2014,388
10/01/2014,473
11/01/2014,431
12/01/2014,242
13/01/2014,510
14/01/2014,567
15/01/2014,423
16/01/2014,442
17/01/2014,454
18/01/2014,298
19/01/2014,244
20/01/2014,493
21/01/2014,426
22/01/2014,408
23/01/2014,401
24/01/2014,516
25/01/2014,373
26/01/2014,240
27/01/2014,428
28/01/2014,416
29/01/2014,435
30/01/2014,398
31/01/2014,469
01/02/2014,409
02/02/2014,272
03/02/2014,351
04/02/2014,430
05/02/2014,431
06/02/2014,452
07/02/2014,508
08/02/2014,369
09/02/2014,257
10/02/2014,440
11/02/2014,414
12/02/2014,409
13/02/2014,475
14/02/2014,426
15/02/2014,291
16/02/2014,333
17/02/2014,345
18/02/2014,363
19/02/2014,352
20/02/2014,370
21/02/2014,405
22/02/2014,306
23/02/2014,253
24/02/2014,377
25/02/2014,419
26/02/2014,428
27/02/2014,420
28/02/2014,475
01/03/2014,392
02/03/2014,286
03/03/2014,479
04/03/2014,445
05/03/2014,403
06/03/2014,391
07/03/2014,487
08/03/2014,324
09/03/2014,345
10/03/2014,403
11/03/2014,371
12/03/2014,416
13/03/2014,415
14/03/2014,417
15/03/2014,337
16/03/2014,350
17/03/2014,330
18/03/2014,388
19/03/2014,358
20/03/2014,423
21/03/2014,495
22/03/2014,348
23/03/2014,283
24/03/2014,425
25/03/2014,405
26/03/2014,381
27/03/2014,425
28/03/2014,411
29/03/2014,367
30/03/2014,300
31/03/2014,315
01/04/2014,432
02/04/2014,356
03/04/2014,393
04/04/2014,388
05/04/2014,325
06/04/2014,229
07/04/2014,400
08/04/2014,391
09/04/2014,416
10/04/2014,365
11/04/2014,449
12/04/2014,291
13/04/2014,345
14/04/2014,392
15/04/2014,430
16/04/2014,406
17/04/2014,344
18/04/2014,349
19/04/2014,362
20/04/2014,276
21/04/2014,284
22/04/2014,350
23/04/2014,380
24/04/2014,409
25/04/2014,461
26/04/2014,329
27/04/2014,293
28/04/2014,384
29/04/2014,366
30/04/2014,413
01/05/2014,434
02/05/2014,435
03/05/2014,386
04/05/2014,327
05/05/2014,296
06/05/2014,406
07/05/2014,424
08/05/2014,435
09/05/2014,471
10/05/2014,311
11/05/2014,291
12/05/2014,443
13/05/2014,435
14/05/2014,463
15/05/2014,488
16/05/2014,453
17/05/2014,419
18/05/2014,375
19/05/2014,423
20/05/2014,368
21/05/2014,482
22/05/2014,462
23/05/2014,481
24/05/2014,353
25/05/2014,338
26/05/2014,299
27/05/2014,396
28/05/2014,392
29/05/2014,320
30/05/2014,355
31/05/2014,342
01/06/2014,327
02/06/2014,380
03/06/2014,405
04/06/2014,443
05/06/2014,463
06/06/2014,522
07/06/2014,369
08/06/2014,347
09/06/2014,382
10/06/2014,464
11/06/2014,422
12/06/2014,495
13/06/2014,502
14/06/2014,338
15/06/2014,307
16/06/2014,388
17/06/2014,421
18/06/2014,436
19/06/2014,417
20/06/2014,472
21/06/2014,407
22/06/2014,353
23/06/2014,449
24/06/2014,460
25/06/2014,483
26/06/2014,453
27/06/2014,507
28/06/2014,393
29/06/2014,332
30/06/2014,395
01/07/2014,450
02/07/2014,396
03/07/2014,418
04/07/2014,492
05/07/2014,410
06/07/2014,329
07/07/2014,420
08/07/2014,431
09/07/2014,434
10/07/2014,454
11/07/2014,483
12/07/2014,397
13/07/2014,341
14/07/2014,364
15/07/2014,377
16/07/2014,428
17/07/2014,489
18/07/2014,485
19/07/2014,437
20/07/2014,330
21/07/2014,402
22/07/2014,474
23/07/2014,465
24/07/2014,481
25/07/2014,483
26/07/2014,389
27/07/2014,348
28/07/2014,376
29/07/2014,423
30/07/2014,425
31/07/2014,395
01/08/2014,527
02/08/2014,389
03/08/2014,332
04/08/2014,401
05/08/2014,384
06/08/2014,420
07/08/2014,393
08/08/2014,445
09/08/2014,428
10/08/2014,313
11/08/2014,409
12/08/2014,384
13/08/2014,441
14/08/2014,428
15/08/2014,406
16/08/2014,315
17/08/2014,324
18/08/2014,413
19/08/2014,401
20/08/2014,402
21/08/2014,379
22/08/2014,449
23/08/2014,369
24/08/2014,315
25/08/2014,364
26/08/2014,419
27/08/2014,353
28/08/2014,400
29/08/2014,436
30/08/2014,317
31/08/2014,352
01/09/2014,384
02/09/2014,440
03/09/2014,369
04/09/2014,366
05/09/2014,397
06/09/2014,336
07/09/2014,362
08/09/2014,458
09/09/2014,470
10/09/2014,410
11/09/2014,411
12/09/2014,453
13/09/2014,336
14/09/2014,259
15/09/2014,418
16/09/2014,422
17/09/2014,394
18/09/2014,420
19/09/2014,464
20/09/2014,331
21/09/2014,346
22/09/2014,434
23/09/2014,419
24/09/2014,470
25/09/2014,372
26/09/2014,434
27/09/2014,351
28/09/2014,297
29/09/2014,398
30/09/2014,411
01/10/2014,468
02/10/2014,450
03/10/2014,512
04/10/2014,456
05/10/2014,328
06/10/2014,531
07/10/2014,545
08/10/2014,516
09/10/2014,530
10/10/2014,560
11/10/2014,376
12/10/2014,294
13/10/2014,468
14/10/2014,441
15/10/2014,431
16/10/2014,477
17/10/2014,520
18/10/2014,326
19/10/2014,333
20/10/2014,406
21/10/2014,411
22/10/2014,404
23/10/2014,400
24/10/2014,443
25/10/2014,366
26/10/2014,268
27/10/2014,393
28/10/2014,491
29/10/2014,432
30/10/2014,413
31/10/2014,461
01/11/2014,425
02/11/2014,319
03/11/2014,486
04/11/2014,532
05/11/2014,464
06/11/2014,427
07/11/2014,500
08/11/2014,407
09/11/2014,341
10/11/2014,467
11/11/2014,488
12/11/2014,538
13/11/2014,487
14/11/2014,532
15/11/2014,385
16/11/2014,277
17/11/2014,429
18/11/2014,497
19/11/2014,452
20/11/2014,453
21/11/2014,489
22/11/2014,423
23/11/2014,317
24/11/2014,502
25/11/2014,510
26/11/2014,481
27/11/2014,423
28/11/2014,490
29/11/2014,389
30/11/2014,316
01/12/2014,374
02/12/2014,456
03/12/2014,484
04/12/2014,460
05/12/2014,554
06/12/2014,468
07/12/2014,276
08/12/2014,540
09/12/2014,513
10/12/2014,477
11/12/2014,472
12/12/2014,498
13/12/2014,481
14/12/2014,294
15/12/2014,434
16/12/2014,543
17/12/2014,445
18/12/2014,448
19/12/2014,493
20/12/2014,303
21/12/2014,266
22/12/2014,367
23/12/2014,346
24/12/2014,348
25/12/2014,128
26/12/2014,265
27/12/2014,269
28/12/2014,249
29/12/2014,285
30/12/2014,277
31/12/2014,223
01/01/2015,235
02/01/2015,261
03/01/2015,240
04/01/2015,214
05/01/2015,296
06/01/2015,424
07/01/2015,355
08/01/2015,458
09/01/2015,459
10/01/2015,279
11/01/2015,229
12/01/2015,402
13/01/2015,504
14/01/2015,489
15/01/2015,396
16/01/2015,491
17/01/2015,369
18/01/2015,278
19/01/2015,395
20/01/2015,438
21/01/2015,376
22/01/2015,383
23/01/2015,496
24/01/2015,394
25/01/2015,248
26/01/2015,397
27/01/2015,395
28/01/2015,424
29/01/2015,473
30/01/2015,469
31/01/2015,334
01/02/2015,233
02/02/2015,373
03/02/2015,414
04/02/2015,429
05/02/2015,388
06/02/2015,451
07/02/2015,344
08/02/2015,319
09/02/2015,442
10/02/2015,383
11/02/2015,372
12/02/2015,342
13/02/2015,430
14/02/2015,317
15/02/2015,252
16/02/2015,344
17/02/2015,459
18/02/2015,406
19/02/2015,369
20/02/2015,373
21/02/2015,347
22/02/2015,262
23/02/2015,388
24/02/2015,410
25/02/2015,335
26/02/2015,340
27/02/2015,435
